ts,Generation Meter RM - 01
2018-01-01T00:00:00,6443.605666800681
2018-01-02T00:00:00,6463.093846668412
2018-01-03T00:00:00,9216.230338215228
2018-01-04T00:00:00,96.57209483232724
2018-01-05T00:00:00,8147.274008370496
2018-01-06T00:00:00,10979.687303901865
2018-01-07T00:00:00,11708.821592389699
2018-01-08T00:00:00,3490.3328680958775
2018-01-09T00:00:00,8792.95900167831
2018-01-10T00:00:00,14152.741358082489
2018-01-11T00:00:00,1949.0040124201003
2018-01-12T00:00:00,1420.1651697513666
2018-01-13T00:00:00,13144.993677303646
2018-01-14T00:00:00,21741.24898269493
2018-01-15T00:00:00,7760.01559525647
2018-01-16T00:00:00,7911.667609400083
2018-01-17T00:00:00,440.4042268566264
2018-01-18T00:00:00,3589.247552674063
2018-01-19T00:00:00,5670.782047209707
2018-01-20T00:00:00,9213.202624177844
2018-01-21T00:00:00,19335.814382516688
2018-01-22T00:00:00,1402.6703585787536
2018-01-23T00:00:00,1094.8240936375066
2018-01-24T00:00:00,15794.470270273216
2018-01-25T00:00:00,23539.947705973067
2018-01-26T00:00:00,24248.11021741715
2018-01-27T00:00:00,21046.68251854914
2018-01-28T00:00:00,6863.711054878593
2018-01-29T00:00:00,8133.219911387392
2018-01-30T00:00:00,1779.2783141648238
2018-01-31T00:00:00,22614.125644105352
2018-02-01T00:00:00,6732.732679910078
2018-02-02T00:00:00,2486.1734000234337
2018-02-03T00:00:00,12366.46010019497
2018-02-04T00:00:00,5702.818529061405
2018-02-05T00:00:00,17635.923160505787
2018-02-06T00:00:00,9395.712705301105
2018-02-07T00:00:00,1564.1391446920018
2018-02-08T00:00:00,5619.628516592837
2018-02-09T00:00:00,6823.559411834153
2018-02-10T00:00:00,2803.0493580889774
2018-02-11T00:00:00,2029.8610729811985
2018-02-12T00:00:00,11800.963563272482
2018-02-13T00:00:00,23289.711619257127
2018-02-14T00:00:00,17123.359723284768
2018-02-15T00:00:00,4822.561606711991
2018-02-16T00:00:00,3550.3903358686243
2018-02-17T00:00:00,22327.850870307826
2018-02-18T00:00:00,11597.83877371898
2018-02-19T00:00:00,17166.314072687004
2018-02-20T00:00:00,18331.06657319279
2018-02-21T00:00:00,17469.130633588116
2018-02-22T00:00:00,3380.567914754613
2018-02-23T00:00:00,1356.321134742948
2018-02-24T00:00:00,15608.18070773202
2018-02-25T00:00:00,2162.3730946135365
2018-02-26T00:00:00,16870.65577958931
2018-02-27T00:00:00,29302.428191800722
2018-02-28T00:00:00,22553.729683732363
2018-03-01T00:00:00,21671.069479350626
2018-03-02T00:00:00,1782.6402035653148
2018-03-03T00:00:00,5584.4096764929345
2018-03-04T00:00:00,6976.859380562565
2018-03-05T00:00:00,11643.229850050398
2018-03-06T00:00:00,28845.928550028933
2018-03-07T00:00:00,1501.5718329201725
2018-03-08T00:00:00,5539.679055600369
2018-03-09T00:00:00,13083.796227972498
2018-03-10T00:00:00,14484.768655330883
2018-03-11T00:00:00,27986.19663146796
2018-03-12T00:00:00,18104.965482863663
2018-03-13T00:00:00,292.5229560622544
2018-03-14T00:00:00,7689.307559419661
2018-03-15T00:00:00,17843.466723217876
2018-03-16T00:00:00,20412.16956171026
2018-03-17T00:00:00,25969.560111586805
2018-03-18T00:00:00,32332.834426754223
2018-03-19T00:00:00,32582.028018080342
2018-03-20T00:00:00,26310.49524352324
2018-03-21T00:00:00,8201.835720968014
2018-03-22T00:00:00,14107.56215045913
2018-03-23T00:00:00,24324.655030478785
2018-03-24T00:00:00,22596.992207187985
2018-03-25T00:00:00,18686.512780600093
2018-03-26T00:00:00,32585.72210919911
2018-03-27T00:00:00,27213.144975206433
2018-03-28T00:00:00,24141.010376726517
2018-03-29T00:00:00,11960.565028586652
2018-03-30T00:00:00,4814.467970105257
2018-03-31T00:00:00,32229.413720421795
2018-04-01T00:00:00,20262.845513743006
2018-04-02T00:00:00,8759.267432157194
2018-04-03T00:00:00,12942.753729611848
2018-04-04T00:00:00,4216.828609859515
2018-04-05T00:00:00,24613.08068305746
2018-04-06T00:00:00,8530.370180759563
2018-04-07T00:00:00,23632.56771085063
2018-04-08T00:00:00,22224.42333239918
2018-04-09T00:00:00,24581.697315000543
2018-04-10T00:00:00,7567.421977018222
2018-04-11T00:00:00,23837.110195289828
2018-04-12T00:00:00,20450.341789572183
2018-04-13T00:00:00,15744.762741924267
2018-04-14T00:00:00,24798.330375859878
2018-04-15T00:00:00,4314.990736493793
2018-04-16T00:00:00,5138.849664891839
2018-04-17T00:00:00,16384.396136619212
2018-04-18T00:00:00,18049.366990640556
2018-04-19T00:00:00,6376.755837559709
2018-04-20T00:00:00,27711.983202522293
2018-04-21T00:00:00,35168.31239609408
2018-04-22T00:00:00,35286.89615909005
2018-04-23T00:00:00,32763.34257020587
2018-04-24T00:00:00,28563.44477689481
2018-04-25T00:00:00,6946.928524700695
2018-04-26T00:00:00,21955.00310171006
2018-04-27T00:00:00,12634.239746077472
2018-04-28T00:00:00,30280.27745211009
2018-04-29T00:00:00,8131.266429903805
