ts,total
2018-01-01T00:00:00,5474.215228215475
2018-01-02T00:00:00,5490.77156274597
2018-01-03T00:00:00,7829.7200469824875
2018-01-04T00:00:00,82.04357303793203
2018-01-05T00:00:00,6921.579896618693
2018-01-06T00:00:00,9327.878605257134
2018-01-07T00:00:00,9947.320301700353
2018-01-08T00:00:00,2965.239390193501
2018-01-09T00:00:00,7470.126596365893
2018-01-10T00:00:00,12023.571315449124
2018-01-11T00:00:00,1655.7914925822233
2018-01-12T00:00:00,1206.5123474097015
2018-01-13T00:00:00,11167.431448178597
2018-01-14T00:00:00,18470.44689197836
2018-01-15T00:00:00,6592.581504732942
2018-01-16T00:00:00,6721.418650912112
2018-01-17T00:00:00,374.1488306229683
2018-01-18T00:00:00,3049.273128540014
2018-01-19T00:00:00,4817.656921290083
2018-01-20T00:00:00,7827.147829012117
2018-01-21T00:00:00,16426.891249426124
2018-01-22T00:00:00,1191.6494947324638
2018-01-23T00:00:00,930.116309954669
2018-01-24T00:00:00,13418.314860669572
2018-01-25T00:00:00,19998.545359063755
2018-01-26T00:00:00,20600.1703194756
2018-01-27T00:00:00,17880.372559120784
2018-01-28T00:00:00,5831.119022735433
2018-01-29T00:00:00,6909.640129397972
2018-01-30T00:00:00,1511.5997077255543
2018-01-31T00:00:00,19212.006037483807
2018-02-01T00:00:00,5719.845327246314
2018-02-02T00:00:00,2112.147916889824
2018-02-03T00:00:00,10506.02220250677
2018-02-04T00:00:00,4844.873763207429
2018-02-05T00:00:00,14982.735462273125
2018-02-06T00:00:00,7982.200685603803
2018-02-07T00:00:00,1328.8265557647362
2018-02-08T00:00:00,4774.199042152221
2018-02-09T00:00:00,5797.007882613348
2018-02-10T00:00:00,2381.352347576073
2018-02-11T00:00:00,1724.4842362292877
2018-02-12T00:00:00,10025.60022853746
2018-02-13T00:00:00,19785.955348534826
2018-02-14T00:00:00,14547.2832141757
2018-02-15T00:00:00,4097.044659714228
2018-02-16T00:00:00,3016.2616782803616
2018-02-17T00:00:00,18968.799080507742
2018-02-18T00:00:00,9853.03398632762
2018-02-19T00:00:00,14583.775415246806
2018-02-20T00:00:00,15573.299946243853
2018-02-21T00:00:00,14841.035575902122
2018-02-22T00:00:00,2871.9877217680123
2018-02-23T00:00:00,1152.273151725441
2018-02-24T00:00:00,13260.051116291965
2018-02-25T00:00:00,1837.0608531502817
2018-02-26T00:00:00,14332.596616587147
2018-02-27T00:00:00,24894.105400911376
2018-02-28T00:00:00,19160.696180380048
2018-03-01T00:00:00,18410.82534997504
2018-03-02T00:00:00,1514.4558269704926
2018-03-03T00:00:00,4744.278603074407
2018-03-04T00:00:00,5927.245061406234
2018-03-05T00:00:00,9891.596327682366
2018-03-06T00:00:00,24506.282585567867
2018-03-07T00:00:00,1275.6720102197555
2018-03-08T00:00:00,4706.277356766117
2018-03-09T00:00:00,11115.440679906947
2018-03-10T00:00:00,12305.647683986877
2018-03-11T00:00:00,23775.890658417848
2018-03-12T00:00:00,15381.214009301302
2018-03-13T00:00:00,248.51514873561112
