ts,Meter 1,Meter 2,Meter 3,Meter 4,total
2018-01-01T00:00:00,6445.659205954915,6445.659205954916,6445.659205954915,6445.659205954913,25782.63682381966
2018-01-02T00:00:00,6465.153596590729,6465.153596590729,6465.153596590731,6465.153596590731,25860.614386362915
2018-01-03T00:00:00,9219.167496513333,9219.16749651333,9219.167496513332,9219.16749651333,36876.669986053326
2018-01-04T00:00:00,96.60287178985682,96.60287178985683,96.60287178985679,96.6028717898568,386.4114871594272
2018-01-05T00:00:00,8149.8704965855695,8149.87049658557,8149.870496585572,8149.870496585568,32599.48198634228
2018-01-06T00:00:00,10983.18646554299,10983.186465542987,10983.186465542984,10983.186465542985,43932.74586217195
2018-01-07T00:00:00,11712.553124831818,11712.553124831818,11712.553124831818,11712.553124831818,46850.212499327274
2018-01-08T00:00:00,3491.44521661262,3491.445216612619,3491.4452166126202,3491.4452166126207,13965.780866450481
2018-01-09T00:00:00,8795.761265895775,8795.761265895773,8795.761265895771,8795.761265895777,35183.0450635831
2018-01-10T00:00:00,14157.25175335206,14157.251753352068,14157.25175335206,14157.251753352059,56629.00701340824
2018-01-11T00:00:00,1949.6251485134967,1949.6251485134967,1949.6251485134972,1949.6251485134962,7798.500594053987
2018-01-12T00:00:00,1420.6177680220187,1420.6177680220198,1420.6177680220198,1420.6177680220198,5682.4710720880785
2018-01-13T00:00:00,13149.182909325958,13149.182909325958,13149.182909325958,13149.18290932596,52596.731637303834
2018-01-14T00:00:00,21748.17779062588,21748.177790625865,21748.177790625865,21748.17779062587,86992.71116250347
2018-01-15T00:00:00,7762.488666497382,7762.4886664973865,7762.488666497386,7762.488666497386,31049.954665989542
2018-01-16T00:00:00,7914.189011244235,7914.189011244235,7914.189011244236,7914.189011244229,31656.756044976933
2018-01-17T00:00:00,440.54458108845046,440.5445810884504,440.5445810884503,440.54458108845034,1762.1783243538014
2018-01-18T00:00:00,3590.3914247178855,3590.3914247178855,3590.3914247178836,3590.391424717883,14361.565698871538
2018-01-19T00:00:00,5672.58929203058,5672.589292030579,5672.589292030579,5672.589292030581,22690.35716812232
