ts,Meter 1,Meter 2,total
2018-01-01T00:00:00,1083.4379779046367,1083.4379779046367,2166.8759558092734
2018-01-02T00:00:00,1086.7147510780364,1086.7147510780367,2173.4295021560733
2018-01-03T00:00:00,1549.6314451683447,1549.6314451683447,3099.2628903366895
2018-01-04T00:00:00,16.237783712655602,16.2377837126556,32.475567425311205
2018-01-05T00:00:00,1369.8954488390768,1369.8954488390762,2739.7908976781528
2018-01-06T00:00:00,1846.1418692728666,1846.1418692728664,3692.2837385457333
2018-01-07T00:00:00,1968.7396538037165,1968.7396538037167,3937.4793076074334
2018-01-08T00:00:00,586.8700507710417,586.8700507710421,1173.740101542084
2018-01-09T00:00:00,1478.4619378030307,1478.4619378030304,2956.9238756060613
2018-01-10T00:00:00,2379.664161916586,2379.6641619165866,4759.328323833172
2018-01-11T00:00:00,327.7085959844128,327.7085959844128,655.4171919688256
2018-01-12T00:00:00,238.78880232129072,238.7888023212908,477.57760464258155
2018-01-13T00:00:00,2210.2198839827984,2210.219883982797,4420.439767965595
2018-01-14T00:00:00,3655.60775332605,3655.6077533260504,7311.215506652101
2018-01-15T00:00:00,1304.7812109842425,1304.7812109842432,2609.562421968486
2018-01-16T00:00:00,1330.2802188449311,1330.2802188449314,2660.5604376898627
2018-01-17T00:00:00,74.05025845461282,74.05025845461283,148.10051690922563
2018-01-18T00:00:00,603.5017212031149,603.5017212031149,1207.0034424062299
2018-01-19T00:00:00,953.494200618477,953.4942006184767,1906.9884012369537
2018-01-20T00:00:00,1549.1223605744133,1549.122360574414,3098.244721148827
2018-01-21T00:00:00,3251.154201392147,3251.154201392147,6502.308402784294
2018-01-22T00:00:00,235.8471972913091,235.84719729130893,471.694394582618
2018-01-23T00:00:00,184.08544276435296,184.08544276435296,368.1708855287059
2018-01-24T00:00:00,2655.7070399058384,2655.707039905839,5311.414079811677
2018-01-25T00:00:00,3958.0437819068757,3958.043781906877,7916.087563813752
2018-01-26T00:00:00,4077.1153389048395,4077.11533890484,8154.230677809679
2018-01-27T00:00:00,3538.8222570763824,3538.8222570763814,7077.644514152764
2018-01-28T00:00:00,1154.0751577232402,1154.0751577232406,2308.150315446481
2018-01-29T00:00:00,1367.532370897312,1367.5323708973112,2735.064741794623
2018-01-30T00:00:00,299.17065048852555,299.17065048852555,598.3413009770511
2018-01-31T00:00:00,3802.3746062188666,3802.374606218866,7604.749212437733
2018-02-01T00:00:00,1132.0522480259162,1132.052248025916,2264.1044960518325
2018-02-02T00:00:00,418.0291005577772,418.02910055777744,836.0582011155545
2018-02-03T00:00:00,2079.316025470877,2079.316025470878,4158.632050941755
2018-02-04T00:00:00,958.880864997307,958.880864997307,1917.761729994614
2018-02-05T00:00:00,2965.33182127313,2965.3318212731315,5930.663642546261
2018-02-06T00:00:00,1579.8098922863878,1579.809892286387,3159.6197845727747
2018-02-07T00:00:00,262.99681261035346,262.99681261035346,525.9936252207069
2018-02-08T00:00:00,944.8931656327737,944.893165632774,1889.7863312655477
2018-02-09T00:00:00,1147.3239973948328,1147.3239973948328,2294.6479947896655
2018-02-10T00:00:00,471.3091218697559,471.3091218697559,942.6182437395119
2018-02-11T00:00:00,341.30402915081345,341.30402915081345,682.6080583016269
2018-02-12T00:00:00,1984.232549517021,1984.2325495170205,3968.4650990340415
2018-02-13T00:00:00,3915.9686932360805,3915.9686932360805,7831.937386472161
2018-02-14T00:00:00,2879.1485998460653,2879.1485998460653,5758.297199692131
